target,input
"Credit reporting, credit repair services, or other personal consumer reports","I contacted XXXX and asked them to correct the inaccuracies that they are reporting to XXXX, TransUnion and XXXX  they ignored my request. 

I contacted TransUnion, XXXX  and XXXX  and asked them to verify this incorrect information or remove this account from my credit file because it is not being reported with 100 % accuracies. 

They are reporting different things to all three of them. The account types are different. The 30, 60, 90, XXXX  and XXXX are being reported on differently. The same derogatory late payments are being reported on all the reports on different months. An account that is reporting 100 % accurate information would never do that. All the information would match on all 3 credit reports."
"Credit reporting, credit repair services, or other personal consumer reports","XXXX XXXX / XXXX XXXX XXXX WENT ON MY TRANSUNION AND RUINED MY SCORE FROM ''XXXX  '' TO ''XXXX '' AND THIS IS NOT ACCURATE ITS OLDER THAN 10 YEARS WAS OPEN XX/XX/2007 BY XXXX  XXXX/ XXXX , IAM AM CURRENT I DONT KNOW WHY THEY KEEP DOING THIS THE OTHER 2 CREDIT BUREAUS ARE THE SAME WAY RUINING MY CREDIT I CAN NOT GET ANY LOANS WHAT SO EVER ... ... I HAVE PROOF THIS LOAD IS NOT ACCURATE AND ITS OLDER THAT 10 YEARS ... .. 

CURRENT LANDER IS ''XXXX '' XXXX XXXX.."
Checking or savings account,"I started a XXXX XXXX XXXX  and XXXX company a few years ago, and I travel around the country visiting XXXX. In XX/XX/2016, I received 5+ missed calls while I was in DC for work. I had used my computer at the XXXX I was staying at and at a few coffee shops. I call the number back and a woman from XXXX, Texas asked, "" Is this ( company name )? I received a notification from my bank ( XXXX XXXX ) that there is suspicious activity and someone is trying to transfer money into my account. '' Me "" Yes, this is ( company name ). Who is this? I am not trying to transfer money, but I will check with my bank and call you back. '' When I check my account initially, I did not see any unusual payments. So assumed it was some sort of mistake. But then a few days later, I noticed a XXXX in the amount of {$3700.00} which I did not recognize. I was thinking that maybe I was paying an invoice to someone. But when I saw who is was going to, I had no idea who this person was, and there were no open invoices that matched that amount in my accounts payable. I reported there was a XXXX transfer made that I had no idea about, and I did not approve. It was not done by any of the signers on the account. Funds are returned to my account. 

I go into a physical Chase location, filed a claim for it, and we closed the bank account. I was told that I would receive an email with an attachment that I need to fax in. 
So I wait and wait, and after a couple weeks go by, I call chase and ask them what the status of my claim is. They said that they did not receive my faxed form and so there was no progress on the claim. I explained that I was still waiting to receive it via email. By the way, I was still receiving other chase notifications, so I assumed that they had my email correct. They said they would email it in 1-2 business days. I asked him on the phone if he could email it to me while we were talking so that I can make sure that I got it. He said he could not do that but assured me that I would receive it in 24-48 hours.. 
I get a voicemail from Chase. "" We need more information to continue our research of your claim. Please call us as soon as possible and refer to claim number # # # # # # # # #. '' I called the number in the email and explained what happened. They told me that my claim was closed because I never faxed in the form, and I responded that I never received the form. Then the Chase Agent sent me a link that allowed me to download the chase form to fax. ( Why couldn't they do that in the first place? ) I asked him if I can speak with someone from the team that is doing the investigation, and he replied that I can not and they will contact me and to look out for a phone number starting with XXXX or XXXX. I fill out form and drop it off at Chase to be faxed in. 

They never called despite me requesting over and over that they call me. My Chase agent was amazing and tried so hard to help me get ahold of someone in the Investigations team, but she ended up just sitting on the phone for hours with no luck. I was told that they tried to call me once, and I didn't answer so they never called again. I have even looked through my phone since then and have not missed any calls from a phone number starting with those digits. I had made sure that if I saw any XXXX or XXXX numbers calling me, I would answer immediately, even if I was in a meeting or busy with something else. 

A few days later, I receive an email from Chase saying they "" issued a temporary credit in the amount of {$3700.00} for claim # # # # # # # #. You'll have full use of the temporary funds while we do our research. '' Thanks for calling us. Welcome to theChaseCustomer Claims Secure Document Exchange I  called the woman who called me at the beginning saying that she had received the money in her XXXX XXXX Account, no answer. 

I notice that chase has removed the funds from my account.I spend 50 minutes on the phone with Chase and am transferred from person to person. I keep asking for more information so that I can understand what exactly is going on with my account, and why the claim was dropped. After a very long and frustrating conversation, the guy on the phone tells me that the reason they denied the claim was because there was another XXXX transfer made from the same IP address on for {$80.00} that I did not claim. I told him that I did not make that transfer and asked him to file a claim for both. He said that they already closed the claim and he could not reopen it. After arguing for 20 more minutes, he finally agreed to file a new claim for both of the amounts. Why couldn't he have done this the first time I asked? I also asked him over and over for information on the IP addresses that the transactions were made from so that I could help prove my case. He refused. 

So I email my Chase Agent. She called Chase again and made sure they reopened claim. I emailed Chase Agent multiple to ask if there are any updates on my claim because I haven't heard anything. She keeps checking for me. 

Chase Agent emails me back, "" I just got off the phone with the claims department. They said that this claim is going to remain denied because they can not find proof that it was fraudulent. You are welcome to come back into the branch and we can try to reach out to the claims dept together or you can reach them XXXX 1. Please let me know how you would like to proceed. '' At this point, I have been talking to Chase for months, and I am super frustrated with everything in the Investigations and fraud department. It is very obvious that their goal is to not help you figure out what happened to your money. So I ask my Chase Agent if she can find outwhat EXACTLY they need from me to prove it was hacked.If they do not give me specifics I will ask my lawyer to step in. I also asked her if she could help me get information on the IP addresses that the transactions were made from so that I could help prove my case. From my standpoint, they are not even trying to help me they are just trying to throw my case out. It is also ridiculous that they have not even called me to talk to me about it and try to work with me to find a way to prove that this was fraud. I have NO information, and they are making it so incredibly difficult to get information about this fraud claim. 

So I realize that I have a friend from college that works for Chase, so I go and visit him. He helps me take my case to their Escalations Dept. The Escalations Dept calls me and I tell her the whole story and she says she will call me back on Friday with updates ( 1 hr 20 minute conversation ) She says that she can not help me because the fraud dept is telling her that the IP address used for the 2 disputed transactions is still currently being used to monitor the account. At this point I am concerned that "" they are still monitoring my account. '' Again I asked for IP address information, but again, they refused. 

I call Chase again and the agent tells me that is NOT being used to monitor my account, which doesn't make sense because that was the very reason that I was told by the Escalations Dept that it was closed to begin with. 

At this point, I realize that Chase is not going to help me at all. So I call the number of the woman who called me at the beginning. The person who answers claims to be an someone else and she doesn't know what I am talking about. Then she calls me back and says, "" I am ( her name ) and I do have your money. It was transferred in my account at XXXX XXXX and the bank put a hold on the account because I could not verify who was sending it. '' She said that she would return it to my account. But her story kept changing. First she had the full amount, then she said that she only had {$2500.00}. She told me that should were call her bank and have them return the money. 

Stop in Branch to tell my agent the whole story. She brings her manager in too. I told them that I was going to get a lawyer involved, and they gave me the number to the Chase Executive Office Line. I call them and they say they will get back to me within 48 hours. 

The gentleman from the Executive Office Line said that they could not prove that it was fraud because they were sent from my personal computer, the same one that I am currently using right now. So someone hacked into my computer without my knowledge and charged my account, and there is nothing they can do about it even though I DID NOT send or approve either of the 2 transactions."
"Credit reporting, credit repair services, or other personal consumer reports","Experian is falsely reporting a collection on my report as of XX/XX/XXXX in the amount of XXXX with XXXX XXXX XXXX , XXXX as a third party collector who purchased the debt from the original creditor, XXXX XXXX XXXX. The partial account number is XXXX. 

The account in question belonged solely to my father, XXXX XXXX XXXX who passed away in XX/XX/XXXX for which XXXX XXXX was notified and sent a death certificate. Any claims by XXXX XXXX should have been filed in the XXXX County Court, Probate Division. 

The property was sold and never once did XXXX XXXX claim any fees due when the new property owner transferred the account. Neither XXXX XXXX or XXXX XXXX XXXX have ever contacted me regarding this matter. 

I have never been responsible for this bill, nor should they have any of my personal information, except for paperwork naming me as Successor Trustee of the estate. This attempt to circumvent the judicial system by both XXXX XXXX and XXXX XXXX XXXX violates the Florida Probate Statutes, the FCRA as well as FDCPA. 

If this is not removed immediately, I will file suit against both XXXX XXXX XXXX. and XXXX XXXX, as well as filing a criminal complaint with the XXXX Attorney of XXXX County, Florida."
"Credit reporting, credit repair services, or other personal consumer reports","On XX/XX/2018 I purchased a car. My credit has always been in the high 700 's and low 800 's but at the time I purchased the car my credit rating was XXXX. All of the reports on my credit history was accurate, I have about a 7 % utilization rate, 4.5 year old credit history and except for a payment my son missed years of perfect payments. My income stream has not changed so nothing accounts for the nearly 200 point reduction in my credit. When I called XXXX I was told to contact the individual company that wrongfully reported credit, however, all of the credit reports were accurate. All of the factors that existed when I had a XXXX credit rating are still there but my rating was XXXX. Please help."
Credit card or prepaid card,"Barclays XXXX  Mastercard Dear Sir or Madam : I am writing to dispute a billing error in the amount of {$150.00} on my account. The amount is inaccurate because I have not shopped or ordered anything from the following merchants. I recently received my current card ( just weeks old ) as a result of fraudulent activity. On XX/XX/2018, I noticed new fraudulent. I am more concerned with lack of protection and risk I have been subjected. 

Transaction Date Description Category Amount XX/XX/2018 XXXX *XXXX DEBIT XXXX XX/XX/2018 XXXX *XXXX DEBIT XXXX XX/XX/2018 XXXX XXXX XXXX XXXX DEBIT XXXX I am requesting that the errors are corrected, that any finance and other charges related to the disputed amount be credited as well, and that I receive an accurate statement. I would also like the evidence and source of charges I've identified as fraudulent and also a statement of all transactions that were denied. 

Sincerely, XXXX XXXX XXXX"
Checking or savings account,"TO CFPB!!!! [ THIS IS NOT A DUPLICATE COMPLAINT!!! DO NOT CLOSE THE COMPLAINT IF CHASE RETURNS IT AS A DUPLICATE AGAIN!!! I AM VERY UPSET BY CHASE 'S ACTIONS AND BY CFPB ACTIONS and ADMIN PROCESS WHEN YOU CLOSED MY COMPLAINT SIMPLY BECAUSE CHASE SAID IT WAS A DUPLICATE!!! OMBUDSMAN WAS NOTIFIED!!! ] TO CHASE : [ DO NOT MARK THIS COMPLAINT AS A DUPLICATE AGAIN!!! DOING SO WILL ONLY UPSET ME MORE AND FURTHER AGGRAVATE MY SEVERE EMOTIONAL TRAUMA THAT WAS CAUSED BY YOUR ACTIONS!!! ] PREVIOUS COMPLAINTS TO WHICH THIS ONE IS REGARDING ARE : XXXX, XXXX, XXXX. 

================ This complaint is due to my complete and utter dissatisfaction with the company 's response to my original CFPB complaints XXXX and XXXX. And this complaint is to report that most of my issues were not resolved and even aggravated by the company 's lies in the received responses, as you will see below. 

My complaints are : In regard to the letters from Chase dated XX/XX/2018, and XX/XX/2018, which are documented in both complaints above : 1 ) On the day of the incident ( XX/XX/2018 ),  after my card was blocked the first time, I did receive the email from Chase asking to confirm the transactions that were responsible for the block of my card. I did click "" yes '' in the email and received a successful confirmation that everything should be fine and I can make my transaction now. 

2 ) After trying to do the transaction again at the same ATM for the same amount and having sufficient funds in the account, I was unable to do so again. I called customer service and they assured me that they unblocked it now for sure and everything should be fine and I can make my transaction. I was asked for my info, I verified my ID and everything else that they have required from me to unblock the card. They GUARANTEED that it will work and everything should be fine.

3 ) After I went back to the same ATM and tried to do the transaction for the same amount again ( 3rd time now ) I was blocked again and I was unable to do my transaction. I called the customer service again and had to verify all info again, at which point I was told by the rep that they can't unblock my card and I need to call the Fraud Dept. 

4 ) Once I have reached the Fraud Dept by phone and before I was connected to the rep, I have heard very clearly the following message which I quote to my best ability : "" your conversation with us is going to be recorded to prevent fraud and your voice is being analyzed and will be used in the future for your recognition and ID ''. This was completely outrageous and upsetting because I was simply put before the fact, I was not provided with a choice to opt out and use some alternative way to resolve my issues with the company, and I was not asked for permission to do this. This was also the first time I have ever heard anywhere such a message and there was absolutely no reason to give me such a message since I am not a criminal or under investigation by LE for any financial crimes. I was not trying to commit any fraud and I was with the company for many years, always in good standing. Not to mention that recording conversations without two-party consent is absolutely illegal in California and the second part about the use of AI to obtain my "" voiceprint '' for ID, recognition and other purposes, and without my consent or a valid reason, is even more illegal and a complete violation of my rights and financial privacy. Moreover, in the latter dated XX/XX/2018, the company admitted, confirmed, and stated in writing that on XX/XX/2018 I have elected to opt-out from voice recognition and they supposedly honored that. Considering this, the company admitted doing wrong and most certainly committed a crime by doing completely opposite at the time of my call to the Fraud Dept. 4 ) The company never acknowledged that the rep from a Fraud Dept. ( a woman ) was disciplined or fired for humiliating me and talking to me like I am a dirty animal or a petty criminal. So I demand that the company fires this individual because they ignored my concerns completely and did not even apologize. I will not accept anything less than the firing of that woman.

5 ) I was also told by this very angry and threatening woman that I must come to the Branch and she was even more upset when I have told her that I am XXXX and my XXXX XXXX has XXXX XXXX XXXX which prevents me from going anywhere, driving at all, and driving safely too. She said that she did not care and this is what must do. My requests to provide me with a reasonable accommodation only further angered that XXXX and she denied me my ADA rights with complete disrespect or concern. 


XXXX ) The bank was most certainly aware of my XXXX because I was getting direct deposit from XXXX to my account for many years and I also stated that I am XXXX during many times they have requested to update info online. So the company 's statement that they were not advised or had any knowledge about my XXXX and inability to come to the branch is the absolute and blatant lie on their behalf. 

7 ) I had to go to the branch anyway since this was the only option that I was left with to make a needed transaction, which greatly aggravated nerve pain in my foot and put myself and others in great danger since I had to drive there. I also received a huge emotional trauma from all this on that day which further aggravated my health.

8 ) I did have to go the branch yet again the next day ( XXXX ) since I have decided to close the account and withdraw the remainder of my money because I did not want to have any more problems like that, because my card was still not working and because I did not want to be a client of a company that does things like that. I closed my account and withdrew all of my funds on XXXX @ XXXX but I was given a paper that stated that my account is not closed yet and just "" being closed '', so I do not know if it was closed completely. I also do not know if I was not charged any unauthorized fees but I am willing to overlook this particular matter since I think I got most of my money back from the bank. Once I closed the account, I lost access to transactions list, which is why I can't confirm this although I don't have a problem with this. I have attached proof of what I was saying as far as confirming all transactions via email request by the bank and also that my account was "" being closed '' when I asked it to be closed. I also have a call log that confirms that I had to call the bank 4 times that I reported and that I had to drive twice to the bank 's branch which was very dangerous and messed up my health. Let me know if you need this information. This is why I consider most issues still unresolved to my satisfaction and I am still very upset and frustrated. Please help me. Thank you."
Mortgage,"I am currently in foreclosure at the beginning of this process I hired an attorney with the intention of keeping my home. We were offered a favorable loan modification that would allow us to keep our home. The only issue is we were not informed of the offer until it was way too late to accept it. Once I learned this I immediately began trying to contact our loan servicing company : Ocwen Loan Servicing, LLC XXXX. XXXX XXXX XXXX, TX XXXX-XXXX XXXX XXXX ) XXXX I submitted all the loan modification paperwork including all documentation that was requested. I then called every few days to see the progress of the application. I was informed about a week later that the application was denied. Even though I tried explaining that we were offered a loan modification but that my prior attorney had not informed us until after the offer had expired. I was told to appeal which I did and the appeal was denied as well. We are now dangerously close to losing our home as the foreclosure proceeding are nearing the end. I then emailed the only executive email I could find. For the prior CEO of Ocwen hoping that someone at the executive offices would assist me XXXX XXXX XXXX I received an email back the next business day informing me that my point of contact would now be Specialized HRD Escalation Agent, XXXX XXXX ( XXXX ) XXXX. XXXX is your designated contact for inquiries and the submission of documents as needed. XXXX is available during the following hours : Monday Friday XXXX XXXX XXXX XXXX ET Ocwen Loan Servicing, LLC XXXX XXXX XXXX, XXXX XXXX XXXX XXXX XXXX, FL XXXX I have tried calling several times all with no response. PLEASE HELP MY FAMILY KEEP OUR HOME"
Credit card or prepaid card,On XX/XX/2018 my employer XXXX XXXX sent my paycheck ach direct deposit in the amount of {$5600.00} to Netspend. On XX/XX/2018 my second employer XXXX XXXX XXXX sent a ach direct deposit over to Netspend in the amount of {$110.00}. Both companies have issued payment to before and have had no issue. Netspend is stating they are having an issue with their subsidary XXXX posting ach deposit but can not confirm a date or time for resolution. I reached out to XXXX XXXX who works in Office of the President and stated the only information he has received was that XXXX XXXX  would be resetting their system and hoped to have it resolved soon.
"Payday loan, title loan, or personal loan","Attached is a letter I received in the mail dated XX/XX/18 from Debt Recovery Solutions , LLC stating I owe {$140.00} to XXXX XXXX. The account was purchased from XXXX XXXX, XXXX from XXXX XXXX. I have not taken out a loan from XXXX XXXX. I contacted Debt Recovery Solution, LLC on XX/XX/18 to let them know I have not taken out a payday loan from this company or any other company. I do not taken out pay day loans. The gentleman on the phone name XXXX was very rude and aggressive. I stated to him that I was going to file a complaint with the CFPB. He said fine but I took the loan out. I stated to him that I did not."
Vehicle loan or lease,This is reference to regional acceptance corporation. I have been constantly lied to by this company. I asked them what the amount was that I owed to bring the account current and so I won't get assessed late fees they have given me so many incorrect amounts I go good for 4 month and then they turn around and say I owe late fees or certain hidden fees that I was never made aware of my payments have always been on time have always been met and they are tacking on all these additional fees and they are not willing to wave any of them or explain in a defenate answer what they are in relation too.
"Credit reporting, credit repair services, or other personal consumer reports","Past few months : Have incresingly been flagged by multiple parties to provide more ID such as XXXX and SSN card where before I had no such requirements XX/XX/XXXX Went on XXXX to get free credit report. When prompted with security question by Experian involving past loans, was asked about an auto-loan in XX/XX/XXXX, which I do not have. 

Could not complete process for experian credit report, subsequent requests error out. I assume account was locked from free report Tried to go on experian website and create account, says they have a problem with my identity ( if there is a fraudulent car loan, of course home address was changed by criminal ). 

Uploading docs to their website is terrible, and they keep requesting I jump through more and more hoops. 

Tried to call provided number, system is entirely automated and kicks me off if I ask for 'operator ' or 'manager ' or 'live person '. Again system says it can't verify who I am when prompted for home address ( again because the fraudulent loan probably caused that record to be updated in Experian 's system ). 

I want access to my credit report and I want Experian to expunge the bad loan data from their system. I then need to trace down the bank involved and get my name off it as well."
Mortgage,"XXXX, XXXX XXXX, and Servicer, Seterus, Inc. have violated the Truth-in-Lending ACT Section 129C : 1411, 1412, 1414, that when issuing the Mortgage Modification to XXXX XXXX # XXXX and XXXX Loan Modification # XXXX, Seterus XXXX ; there is an apparent disregard for the "" Ability-to-Repay Rule. As a result, I am paying the monthly mortgage, but do not receive credit to the credit reporting agencies. 

Property address : XXXX XXXX XXXX XXXX XXXX, Georgia XXXX I am a authorized third-party on the loan, and Joint tenant on the "" DEED. ''"
Vehicle loan or lease,"ON XX/XX/XXXX, I completed a credit application online to XXXX XXXX XXXX. XXXX refuses to give me a decision regarding my credit application. The dealer, XXXX XXXX in XXXX also will not give me a written decison on my loan simply stating : "" they dont offer a loan for your type of credit situation '' XXXX also ran a credit application without my permission."
Debt collection,"On XX/XX/XXXX, XXXX XXXX called and threatened garnishment on my wages if they did not get a full payment of {$900.00} today on a medical bill that was not paid in full back in XX/XX/XXXX or XX/XX/XXXX. I haven't changed my number in 10 years and she initially joking laughed that she had to call my job because was not able to contact my personal phone. I advised her that I needed to look into what she was talking about and she said since you won't take care of it today, I'll go ahead with garnishment, and hung the phone up."
"Payday loan, title loan, or personal loan","XX/XX/2018, XXXX XXXX  Central Time I fax my Verification of income.. 
XXXX reply back ; Verification of Income Since we did not receive it, XXXX was regrettably unable to give further consideration to your credit request, What XXXX wanted was my ; User name PIN number For my Bank Account so they can personally go into my bank history,"
